record started at: 04-30-19 02:26:54

file format version: 4
captureMode: Offline
eye resolution: 640x480 scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
5661 5660 30.00 0:00:03:08.700/1000 0:00:03:08.667/1000 285.46 376.89 489.69 252.25 -1000.00 -1000.00 77.00 110.00 
5662 5662 30.00 0:00:03:08.734/1000 0:00:03:08.700/1000 286.60 365.18 489.24 247.18 -1000.00 -1000.00 78.00 110.00 
5663 5663 30.00 0:00:03:08.767/1000 0:00:03:08.734/1000 286.77 344.48 489.21 238.56 -1000.00 -1000.00 75.00 88.00 
5664 5663 30.00 0:00:03:08.800/1000 0:00:03:08.767/1000 282.53 332.04 490.99 234.01 -1000.00 -1000.00 74.00 75.00 
5665 5665 30.00 0:00:03:08.834/1000 0:00:03:08.800/1000 274.65 340.60 494.26 238.58 -1000.00 -1000.00 73.00 87.00 
5666 5666 30.00 0:00:03:08.867/1000 0:00:03:08.834/1000 271.97 333.14 495.38 235.85 -1000.00 -1000.00 74.00 78.00 
5667 5666 30.00 0:00:03:08.900/1000 0:00:03:08.867/1000 276.29 306.68 493.61 224.47 -1000.00 -1000.00 76.00 88.00 
5668 5668 30.00 0:00:03:08.934/1000 0:00:03:08.900/1000 284.05 278.89 490.46 212.35 -1000.00 -1000.00 76.00 89.00 
5669 5669 30.00 0:00:03:08.967/1000 0:00:03:08.934/1000 291.94 259.43 487.31 203.73 -1000.00 -1000.00 78.00 91.00 
5670 5669 30.00 0:00:03:09.00/1000 0:00:03:08.967/1000 297.11 250.12 485.26 199.50 -1000.00 -1000.00 76.00 74.00 
5671 5671 30.00 0:00:03:09.34/1000 0:00:03:09.00/1000 297.92 261.15 484.90 203.70 -1000.00 -1000.00 78.00 87.00 
5672 5672 30.00 0:00:03:09.67/1000 0:00:03:09.34/1000 295.20 281.79 485.93 212.14 -1000.00 -1000.00 79.00 76.00 
5673 5672 30.00 0:00:03:09.100/1000 0:00:03:09.67/1000 291.46 297.23 487.40 218.75 -1000.00 -1000.00 79.00 72.00 
5674 5674 30.00 0:00:03:09.134/1000 0:00:03:09.100/1000 332.64 285.29 470.97 209.04 -1000.00 -1000.00 89.00 89.00 
5675 5675 30.00 0:00:03:09.167/1000 0:00:03:09.134/1000 370.07 272.51 456.58 199.78 -1000.00 -1000.00 86.00 92.00 
5676 5675 30.00 0:00:03:09.200/1000 0:00:03:09.167/1000 359.66 284.91 460.44 205.72 -1000.00 -1000.00 85.00 90.00 
5677 5677 30.00 0:00:03:09.234/1000 0:00:03:09.200/1000 355.42 290.40 462.03 208.34 -1000.00 -1000.00 86.00 96.00 
5678 5678 30.00 0:00:03:09.267/1000 0:00:03:09.234/1000 351.57 294.29 463.49 210.30 -1000.00 -1000.00 85.00 98.00 
5679 5678 30.00 0:00:03:09.300/1000 0:00:03:09.267/1000 348.71 294.02 464.60 210.53 -1000.00 -1000.00 86.00 102.00 
5680 5680 30.00 0:00:03:09.334/1000 0:00:03:09.300/1000 347.13 294.39 465.21 210.87 -1000.00 -1000.00 89.00 106.00 
5681 5681 30.00 0:00:03:09.367/1000 0:00:03:09.334/1000 345.61 293.33 465.82 210.64 -1000.00 -1000.00 88.00 107.00 
5682 5681 30.00 0:00:03:09.400/1000 0:00:03:09.367/1000 346.93 309.63 465.16 216.85 -1000.00 -1000.00 83.00 106.00 
5683 5683 30.00 0:00:03:09.434/1000 0:00:03:09.400/1000 347.75 324.23 464.70 222.52 -1000.00 -1000.00 84.00 110.00 
5684 5684 30.00 0:00:03:09.467/1000 0:00:03:09.434/1000 345.23 318.45 465.74 220.54 -1000.00 -1000.00 84.00 107.00 
5685 5684 30.00 0:00:03:09.500/1000 0:00:03:09.467/1000 343.14 315.33 466.60 219.56 -1000.00 -1000.00 85.00 109.00 
5686 5686 30.00 0:00:03:09.534/1000 0:00:03:09.500/1000 341.11 313.21 467.41 218.98 -1000.00 -1000.00 87.00 109.00 
5687 5687 30.00 0:00:03:09.567/1000 0:00:03:09.534/1000 338.72 309.95 468.38 217.98 -1000.00 -1000.00 86.00 109.00 
5688 5687 30.00 0:00:03:09.600/1000 0:00:03:09.567/1000 322.27 322.32 474.84 224.94 -1000.00 -1000.00 87.00 106.00 
5689 5689 30.00 0:00:03:09.634/1000 0:00:03:09.600/1000 278.43 361.24 492.66 246.66 -1000.00 -1000.00 73.00 101.00 
5690 5690 30.00 0:00:03:09.667/1000 0:00:03:09.634/1000 252.28 383.59 503.78 259.84 -1000.00 -1000.00 76.00 107.00 
5691 5690 30.00 0:00:03:09.700/1000 0:00:03:09.667/1000 254.42 379.27 502.85 257.68 -1000.00 -1000.00 76.00 106.00 
5692 5692 30.00 0:00:03:09.734/1000 0:00:03:09.700/1000 254.40 373.43 502.85 255.19 -1000.00 -1000.00 75.00 102.00 
5693 5693 30.00 0:00:03:09.767/1000 0:00:03:09.734/1000 253.40 360.45 503.25 249.81 -1000.00 -1000.00 75.00 93.00 
5694 5693 30.00 0:00:03:09.800/1000 0:00:03:09.767/1000 253.17 345.51 503.32 243.55 -1000.00 -1000.00 77.00 89.00 
5695 5695 30.00 0:00:03:09.834/1000 0:00:03:09.800/1000 253.98 336.76 502.95 239.78 -1000.00 -1000.00 77.00 87.00 
5696 5696 30.00 0:00:03:09.867/1000 0:00:03:09.834/1000 254.77 334.01 502.62 238.52 -1000.00 -1000.00 78.00 90.00 
5697 5696 30.00 0:00:03:09.900/1000 0:00:03:09.867/1000 256.93 328.21 501.69 235.82 -1000.00 -1000.00 77.00 86.00 
5698 5698 30.00 0:00:03:09.934/1000 0:00:03:09.900/1000 263.82 310.01 498.78 227.42 -1000.00 -1000.00 78.00 85.00 
5699 5699 30.00 0:00:03:09.967/1000 0:00:03:09.934/1000 269.66 296.48 496.35 221.18 -1000.00 -1000.00 80.00 87.00 
5700 5699 30.00 0:00:03:10.00/1000 0:00:03:09.967/1000 271.20 297.08 495.72 221.23 -1000.00 -1000.00 82.00 92.00 
5701 5701 30.00 0:00:03:10.34/1000 0:00:03:10.00/1000 272.16 296.61 495.32 220.92 -1000.00 -1000.00 81.00 88.00 
5702 5702 30.00 0:00:03:10.67/1000 0:00:03:10.34/1000 272.83 296.41 495.04 220.75 -1000.00 -1000.00 82.00 92.00 
5703 5702 30.00 0:00:03:10.100/1000 0:00:03:10.67/1000 273.73 300.65 494.67 222.35 -1000.00 -1000.00 81.00 93.00 
5704 5704 30.00 0:00:03:10.134/1000 0:00:03:10.100/1000 274.90 300.09 494.18 221.98 -1000.00 -1000.00 83.00 91.00 
5705 5705 30.00 0:00:03:10.167/1000 0:00:03:10.134/1000 275.78 298.63 493.82 221.28 -1000.00 -1000.00 81.00 90.00 
5706 5705 30.00 0:00:03:10.200/1000 0:00:03:10.167/1000 276.10 297.10 493.69 220.62 -1000.00 -1000.00 80.00 87.00 
5707 5707 30.00 0:00:03:10.234/1000 0:00:03:10.200/1000 276.78 296.06 493.41 220.12 -1000.00 -1000.00 81.00 91.00 
5708 5708 30.00 0:00:03:10.267/1000 0:00:03:10.234/1000 320.43 282.43 475.82 209.37 -1000.00 -1000.00 95.00 110.00 
5709 5708 30.00 0:00:03:10.300/1000 0:00:03:10.267/1000 363.14 264.43 459.32 197.49 -1000.00 -1000.00 95.00 107.00 
5710 5710 30.00 0:00:03:10.334/1000 0:00:03:10.300/1000 358.89 255.87 461.03 194.71 -1000.00 -1000.00 91.00 96.00 
5711 5711 30.00 0:00:03:10.367/1000 0:00:03:10.334/1000 354.61 258.76 462.65 196.28 -1000.00 -1000.00 92.00 112.00 
5712 5711 30.00 0:00:03:10.400/1000 0:00:03:10.367/1000 351.35 261.01 463.89 197.51 -1000.00 -1000.00 92.00 98.00 
5713 5713 30.00 0:00:03:10.434/1000 0:00:03:10.400/1000 349.49 254.20 464.66 195.12 -1000.00 -1000.00 93.00 95.00 
5714 5714 30.00 0:00:03:10.467/1000 0:00:03:10.434/1000 346.97 263.35 465.55 198.90 -1000.00 -1000.00 88.00 110.00 
5715 5714 30.00 0:00:03:10.500/1000 0:00:03:10.467/1000 344.76 272.42 466.33 202.63 -1000.00 -1000.00 89.00 110.00 
5716 5716 30.00 0:00:03:10.534/1000 0:00:03:10.500/1000 343.26 274.96 466.89 203.79 -1000.00 -1000.00 89.00 114.00 
5717 5717 30.00 0:00:03:10.567/1000 0:00:03:10.534/1000 341.69 279.16 467.47 205.59 -1000.00 -1000.00 88.00 118.00 
5718 5717 30.00 0:00:03:10.600/1000 0:00:03:10.567/1000 340.62 275.73 467.92 204.39 -1000.00 -1000.00 89.00 108.00 
5719 5719 30.00 0:00:03:10.634/1000 0:00:03:10.600/1000 339.05 273.77 468.55 203.81 -1000.00 -1000.00 90.00 114.00 
5720 5720 30.00 0:00:03:10.667/1000 0:00:03:10.634/1000 336.92 274.93 469.37 204.51 -1000.00 -1000.00 90.00 110.00 
5721 5720 30.00 0:00:03:10.700/1000 0:00:03:10.667/1000 334.52 272.93 470.33 204.01 -1000.00 -1000.00 91.00 110.00 
5722 5722 30.00 0:00:03:10.734/1000 0:00:03:10.700/1000 331.09 272.84 471.67 204.38 -1000.00 -1000.00 90.00 109.00 
5723 5723 30.00 0:00:03:10.767/1000 0:00:03:10.734/1000 328.18 272.73 472.82 204.67 -1000.00 -1000.00 88.00 108.00 
5724 5723 30.00 0:00:03:10.800/1000 0:00:03:10.767/1000 334.77 333.77 469.76 227.95 -1000.00 -1000.00 62.00 32.00 
5725 5725 30.00 0:00:03:10.834/1000 0:00:03:10.800/1000 -3649.11 2347.10 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
5726 5726 30.00 0:00:03:10.867/1000 0:00:03:10.834/1000 199.08 381.50 527.15 266.83 -1000.00 -1000.00 66.00 50.00 
5727 5726 30.00 0:00:03:10.900/1000 0:00:03:10.867/1000 193.03 343.05 529.48 250.95 -1000.00 -1000.00 86.00 81.00 
5728 5728 30.00 0:00:03:10.934/1000 0:00:03:10.900/1000 329.20 294.80 472.26 213.17 -1000.00 -1000.00 88.00 108.00 
5729 5729 30.00 0:00:03:10.967/1000 0:00:03:10.934/1000 323.36 278.04 474.69 207.31 -1000.00 -1000.00 89.00 110.00 
5730 5729 30.00 0:00:03:11.00/1000 0:00:03:10.967/1000 319.24 270.88 476.36 205.00 -1000.00 -1000.00 89.00 120.00 
5731 5731 30.00 0:00:03:11.34/1000 0:00:03:11.00/1000 316.58 263.17 477.46 202.31 -1000.00 -1000.00 91.00 117.00 
5732 5732 30.00 0:00:03:11.67/1000 0:00:03:11.34/1000 313.82 261.34 478.56 201.92 -1000.00 -1000.00 87.00 112.00 
5733 5732 30.00 0:00:03:11.100/1000 0:00:03:11.67/1000 311.82 257.14 479.37 200.53 -1000.00 -1000.00 87.00 105.00 
5734 5734 30.00 0:00:03:11.134/1000 0:00:03:11.100/1000 310.36 254.00 479.97 199.48 -1000.00 -1000.00 88.00 104.00 
5735 5735 30.00 0:00:03:11.167/1000 0:00:03:11.134/1000 307.48 252.11 481.12 199.07 -1000.00 -1000.00 87.00 98.00 
5736 5735 30.00 0:00:03:11.200/1000 0:00:03:11.167/1000 305.60 248.97 481.88 198.07 -1000.00 -1000.00 87.00 95.00 
5737 5737 30.00 0:00:03:11.234/1000 0:00:03:11.200/1000 305.59 250.80 481.88 198.79 -1000.00 -1000.00 87.00 101.00 
5738 5738 30.00 0:00:03:11.267/1000 0:00:03:11.234/1000 305.42 252.53 481.93 199.47 -1000.00 -1000.00 87.00 98.00 
5739 5738 30.00 0:00:03:11.300/1000 0:00:03:11.267/1000 314.92 255.59 478.15 199.57 -1000.00 -1000.00 91.00 97.00 
5740 5740 30.00 0:00:03:11.334/1000 0:00:03:11.300/1000 321.29 259.27 475.62 200.26 -1000.00 -1000.00 88.00 96.00 
5741 5741 30.00 0:00:03:11.367/1000 0:00:03:11.334/1000 317.97 261.17 476.92 201.38 -1000.00 -1000.00 89.00 99.00 
5742 5741 30.00 0:00:03:11.400/1000 0:00:03:11.367/1000 317.40 262.55 477.13 201.98 -1000.00 -1000.00 87.00 95.00 
5743 5743 30.00 0:00:03:11.434/1000 0:00:03:11.400/1000 316.35 260.68 477.56 201.37 -1000.00 -1000.00 88.00 95.00 
5744 5744 30.00 0:00:03:11.467/1000 0:00:03:11.434/1000 314.64 261.00 478.23 201.70 -1000.00 -1000.00 88.00 97.00 
5745 5744 30.00 0:00:03:11.500/1000 0:00:03:11.467/1000 313.66 259.02 478.64 201.04 -1000.00 -1000.00 90.00 96.00 
5746 5746 30.00 0:00:03:11.534/1000 0:00:03:11.500/1000 312.15 255.77 479.25 199.96 -1000.00 -1000.00 87.00 98.00 
5747 5747 30.00 0:00:03:11.567/1000 0:00:03:11.534/1000 309.58 250.47 480.29 198.20 -1000.00 -1000.00 89.00 95.00 
5748 5747 30.00 0:00:03:11.600/1000 0:00:03:11.567/1000 306.38 244.98 481.59 196.44 -1000.00 -1000.00 86.00 97.00 
5749 5749 30.00 0:00:03:11.634/1000 0:00:03:11.600/1000 303.26 241.71 482.84 195.54 -1000.00 -1000.00 84.00 96.00 
5750 5750 30.00 0:00:03:11.667/1000 0:00:03:11.634/1000 290.04 229.09 488.15 192.17 -1000.00 -1000.00 81.00 92.00 
5751 5750 30.00 0:00:03:11.700/1000 0:00:03:11.667/1000 277.77 215.70 493.09 188.38 -1000.00 -1000.00 73.00 88.00 
5752 5752 30.00 0:00:03:11.734/1000 0:00:03:11.700/1000 276.78 207.85 493.49 185.48 -1000.00 -1000.00 72.00 84.00 
5753 5753 30.00 0:00:03:11.767/1000 0:00:03:11.734/1000 274.82 202.53 494.28 183.66 -1000.00 -1000.00 74.00 84.00 
5754 5753 30.00 0:00:03:11.800/1000 0:00:03:11.767/1000 273.02 198.62 495.01 182.37 -1000.00 -1000.00 73.00 80.00 
5755 5755 30.00 0:00:03:11.834/1000 0:00:03:11.800/1000 271.98 192.49 495.43 180.14 -1000.00 -1000.00 72.00 77.00 
5756 5756 30.00 0:00:03:11.867/1000 0:00:03:11.834/1000 271.17 189.10 495.75 178.94 -1000.00 -1000.00 72.00 78.00 
5757 5756 30.00 0:00:03:11.900/1000 0:00:03:11.867/1000 270.70 188.39 495.94 178.73 -1000.00 -1000.00 71.00 78.00 
5758 5758 30.00 0:00:03:11.934/1000 0:00:03:11.900/1000 270.61 188.66 495.98 178.84 -1000.00 -1000.00 73.00 81.00 
5759 5759 30.00 0:00:03:11.967/1000 0:00:03:11.934/1000 271.40 186.12 495.66 177.79 -1000.00 -1000.00 70.00 75.00 
5760 5759 30.00 0:00:03:12.00/1000 0:00:03:11.967/1000 272.92 184.26 495.06 176.93 -1000.00 -1000.00 71.00 78.00 
5761 5761 30.00 0:00:03:12.34/1000 0:00:03:12.00/1000 274.99 186.39 494.23 177.51 -1000.00 -1000.00 74.00 83.00 
5762 5762 30.00 0:00:03:12.67/1000 0:00:03:12.34/1000 277.89 181.65 493.08 175.42 -1000.00 -1000.00 74.00 79.00 
5763 5762 30.00 0:00:03:12.100/1000 0:00:03:12.67/1000 280.18 172.65 492.18 171.80 -1000.00 -1000.00 71.00 76.00 
5764 5764 30.00 0:00:03:12.134/1000 0:00:03:12.100/1000 281.57 168.17 491.63 169.98 -1000.00 -1000.00 74.00 79.00 
5765 5765 30.00 0:00:03:12.167/1000 0:00:03:12.134/1000 280.66 168.30 491.99 170.12 -1000.00 -1000.00 73.00 82.00 
5766 5765 30.00 0:00:03:12.200/1000 0:00:03:12.167/1000 281.26 161.89 491.76 167.67 -1000.00 -1000.00 74.00 77.00 
5767 5767 30.00 0:00:03:12.234/1000 0:00:03:12.200/1000 285.62 147.18 490.07 161.79 -1000.00 -1000.00 71.00 70.00 
5768 5768 30.00 0:00:03:12.267/1000 0:00:03:12.234/1000 287.77 140.80 489.24 159.24 -1000.00 -1000.00 73.00 73.00 
5769 5768 30.00 0:00:03:12.300/1000 0:00:03:12.267/1000 288.39 140.08 489.00 158.91 -1000.00 -1000.00 72.00 73.00 
5770 5770 30.00 0:00:03:12.334/1000 0:00:03:12.300/1000 288.18 140.26 489.09 159.00 -1000.00 -1000.00 73.00 76.00 
5771 5771 30.00 0:00:03:12.367/1000 0:00:03:12.334/1000 288.25 139.17 489.06 158.59 -1000.00 -1000.00 72.00 74.00 
5772 5771 30.00 0:00:03:12.400/1000 0:00:03:12.367/1000 289.26 134.55 488.67 156.81 -1000.00 -1000.00 71.00 71.00 
5773 5773 30.00 0:00:03:12.434/1000 0:00:03:12.400/1000 287.94 134.09 489.19 156.77 -1000.00 -1000.00 72.00 75.00 
5774 5774 30.00 0:00:03:12.467/1000 0:00:03:12.434/1000 286.42 136.11 489.78 157.65 -1000.00 -1000.00 71.00 76.00 
5775 5774 30.00 0:00:03:12.500/1000 0:00:03:12.467/1000 284.57 140.48 490.50 159.43 -1000.00 -1000.00 70.00 81.00 
5776 5776 30.00 0:00:03:12.534/1000 0:00:03:12.500/1000 282.65 144.24 491.24 161.00 -1000.00 -1000.00 70.00 82.00 
5777 5777 30.00 0:00:03:12.567/1000 0:00:03:12.534/1000 283.60 139.35 490.88 159.11 -1000.00 -1000.00 70.00 77.00 
5778 5777 30.00 0:00:03:12.600/1000 0:00:03:12.567/1000 287.03 129.39 489.55 155.14 -1000.00 -1000.00 71.00 75.00 
5779 5779 30.00 0:00:03:12.634/1000 0:00:03:12.600/1000 286.22 132.42 489.86 156.32 -1000.00 -1000.00 71.00 88.00 
5780 5780 30.00 0:00:03:12.667/1000 0:00:03:12.634/1000 284.29 136.16 490.61 157.88 -1000.00 -1000.00 71.00 83.00 
5781 5780 30.00 0:00:03:12.700/1000 0:00:03:12.667/1000 265.99 139.96 497.82 161.07 -1000.00 -1000.00 64.00 75.00 
5782 5782 30.00 0:00:03:12.734/1000 0:00:03:12.700/1000 248.77 142.17 504.69 163.61 -1000.00 -1000.00 63.00 69.00 
5783 5783 30.00 0:00:03:12.767/1000 0:00:03:12.734/1000 249.06 141.89 504.57 163.48 -1000.00 -1000.00 65.00 77.00 
5784 5783 30.00 0:00:03:12.800/1000 0:00:03:12.767/1000 250.72 139.08 503.90 162.26 -1000.00 -1000.00 63.00 68.00 
5785 5785 30.00 0:00:03:12.834/1000 0:00:03:12.800/1000 254.32 130.16 502.45 158.60 -1000.00 -1000.00 64.00 71.00 
5786 5786 30.00 0:00:03:12.867/1000 0:00:03:12.834/1000 254.63 127.26 502.32 157.50 -1000.00 -1000.00 64.00 70.00 
5787 5786 30.00 0:00:03:12.900/1000 0:00:03:12.867/1000 253.18 129.29 502.90 158.39 -1000.00 -1000.00 65.00 76.00 
5788 5788 30.00 0:00:03:12.934/1000 0:00:03:12.900/1000 253.49 124.86 502.77 156.72 -1000.00 -1000.00 62.00 66.00 
5789 5789 30.00 0:00:03:12.967/1000 0:00:03:12.934/1000 255.47 111.79 501.96 151.74 -1000.00 -1000.00 60.00 61.00 
5790 5789 30.00 0:00:03:13.00/1000 0:00:03:12.967/1000 253.86 110.68 502.60 151.48 -1000.00 -1000.00 60.00 66.00 
5791 5791 30.00 0:00:03:13.34/1000 0:00:03:13.00/1000 252.62 109.78 503.09 151.27 -1000.00 -1000.00 59.00 63.00 
5792 5792 30.00 0:00:03:13.67/1000 0:00:03:13.34/1000 254.46 102.57 502.34 148.47 -1000.00 -1000.00 58.00 60.00 
5793 5792 30.00 0:00:03:13.100/1000 0:00:03:13.67/1000 257.59 97.92 501.10 146.49 -1000.00 -1000.00 58.00 61.00 
5794 5794 30.00 0:00:03:13.134/1000 0:00:03:13.100/1000 260.26 93.36 500.05 144.59 -1000.00 -1000.00 56.00 59.00 
5795 5795 30.00 0:00:03:13.167/1000 0:00:03:13.134/1000 256.38 99.22 501.58 147.07 -1000.00 -1000.00 59.00 72.00 
5796 5795 30.00 0:00:03:13.200/1000 0:00:03:13.167/1000 255.17 97.31 502.06 146.49 -1000.00 -1000.00 54.00 57.00 
5797 5797 30.00 0:00:03:13.234/1000 0:00:03:13.200/1000 259.15 77.50 500.47 138.99 -1000.00 -1000.00 51.00 57.00 
5798 5798 30.00 0:00:03:13.267/1000 0:00:03:13.234/1000 258.27 70.30 500.80 136.49 -1000.00 -1000.00 52.00 60.00 
5799 5798 30.00 0:00:03:13.300/1000 0:00:03:13.267/1000 259.19 67.33 500.44 135.35 -1000.00 -1000.00 51.00 54.00 
5800 5800 30.00 0:00:03:13.334/1000 0:00:03:13.300/1000 263.07 61.20 498.92 132.84 -1000.00 -1000.00 49.00 53.00 
5801 5801 30.00 0:00:03:13.367/1000 0:00:03:13.334/1000 262.29 63.04 499.23 133.55 -1000.00 -1000.00 52.00 57.00 
5802 5801 30.00 0:00:03:13.400/1000 0:00:03:13.367/1000 260.06 64.31 500.10 134.20 -1000.00 -1000.00 50.00 54.00 
5803 5803 30.00 0:00:03:13.434/1000 0:00:03:13.400/1000 262.39 57.76 499.19 131.68 -1000.00 -1000.00 52.00 52.00 
5804 5804 30.00 0:00:03:13.467/1000 0:00:03:13.434/1000 266.33 51.29 497.66 129.05 -1000.00 -1000.00 51.00 49.00 
5805 5804 30.00 0:00:03:13.500/1000 0:00:03:13.467/1000 269.56 47.04 496.41 127.29 -1000.00 -1000.00 49.00 48.00 
5806 5806 30.00 0:00:03:13.534/1000 0:00:03:13.500/1000 271.69 44.62 495.59 126.26 -1000.00 -1000.00 50.00 48.00 
5807 5807 30.00 0:00:03:13.567/1000 0:00:03:13.534/1000 272.59 43.52 495.24 125.80 -1000.00 -1000.00 49.00 45.00 
5808 5807 30.00 0:00:03:13.600/1000 0:00:03:13.567/1000 273.32 42.59 494.96 125.42 -1000.00 -1000.00 47.00 45.00 
5809 5809 30.00 0:00:03:13.634/1000 0:00:03:13.600/1000 275.94 40.24 493.96 124.38 -1000.00 -1000.00 45.00 41.00 
5810 5810 30.00 0:00:03:13.667/1000 0:00:03:13.634/1000 277.60 41.31 493.32 124.61 -1000.00 -1000.00 48.00 45.00 
5811 5810 30.00 0:00:03:13.700/1000 0:00:03:13.667/1000 279.97 44.71 492.41 125.60 -1000.00 -1000.00 46.00 44.00 
5812 5812 30.00 0:00:03:13.734/1000 0:00:03:13.700/1000 297.40 64.83 485.73 131.15 -1000.00 -1000.00 53.00 51.00 
5813 5813 30.00 0:00:03:13.767/1000 0:00:03:13.734/1000 311.13 89.49 480.43 138.62 -1000.00 -1000.00 56.00 55.00 
5814 5813 30.00 0:00:03:13.800/1000 0:00:03:13.767/1000 312.65 96.88 479.82 141.09 -1000.00 -1000.00 59.00 58.00 
5815 5815 30.00 0:00:03:13.834/1000 0:00:03:13.800/1000 315.07 102.40 478.88 142.83 -1000.00 -1000.00 63.00 61.00 
5816 5816 30.00 0:00:03:13.867/1000 0:00:03:13.834/1000 318.11 114.87 477.66 146.99 -1000.00 -1000.00 66.00 64.00 
5817 5816 30.00 0:00:03:13.900/1000 0:00:03:13.867/1000 321.05 157.68 476.30 162.15 -1000.00 -1000.00 75.00 78.00 
5818 5818 30.00 0:00:03:13.934/1000 0:00:03:13.900/1000 322.60 186.34 475.54 172.53 -1000.00 -1000.00 73.00 75.00 
5819 5819 30.00 0:00:03:13.967/1000 0:00:03:13.934/1000 325.33 179.05 474.54 169.56 -1000.00 -1000.00 73.00 70.00 
5820 5819 30.00 0:00:03:14.00/1000 0:00:03:13.967/1000 318.04 199.99 477.23 178.08 -1000.00 -1000.00 84.00 90.00 
5821 5821 30.00 0:00:03:14.34/1000 0:00:03:14.00/1000 317.27 228.76 477.37 189.02 -1000.00 -1000.00 86.00 78.00 
5822 5822 30.00 0:00:03:14.67/1000 0:00:03:14.34/1000 325.03 245.18 474.23 194.42 -1000.00 -1000.00 87.00 80.00 
5823 5822 30.00 0:00:03:14.100/1000 0:00:03:14.67/1000 325.52 261.08 473.94 200.47 -1000.00 -1000.00 88.00 86.00 
5824 5824 30.00 0:00:03:14.134/1000 0:00:03:14.100/1000 326.12 266.99 473.67 202.69 -1000.00 -1000.00 88.00 88.00 
5825 5825 30.00 0:00:03:14.167/1000 0:00:03:14.134/1000 327.12 271.49 473.24 204.31 -1000.00 -1000.00 89.00 93.00 
5826 5825 30.00 0:00:03:14.200/1000 0:00:03:14.167/1000 328.69 276.30 472.59 206.00 -1000.00 -1000.00 89.00 96.00 
5827 5827 30.00 0:00:03:14.234/1000 0:00:03:14.200/1000 329.84 278.98 472.12 206.91 -1000.00 -1000.00 88.00 98.00 
5828 5828 30.00 0:00:03:14.267/1000 0:00:03:14.234/1000 330.13 281.88 471.99 208.00 -1000.00 -1000.00 89.00 102.00 
5829 5828 30.00 0:00:03:14.300/1000 0:00:03:14.267/1000 329.85 285.99 472.07 209.64 -1000.00 -1000.00 89.00 106.00 
5830 5830 30.00 0:00:03:14.334/1000 0:00:03:14.300/1000 329.42 287.10 472.23 210.12 -1000.00 -1000.00 88.00 106.00 
5831 5831 30.00 0:00:03:14.367/1000 0:00:03:14.334/1000 329.15 286.24 472.34 209.82 -1000.00 -1000.00 88.00 106.00 
5832 5831 30.00 0:00:03:14.400/1000 0:00:03:14.367/1000 344.21 271.48 466.55 202.33 -1000.00 -1000.00 92.00 109.00 
5833 5833 30.00 0:00:03:14.434/1000 0:00:03:14.400/1000 358.41 257.34 461.20 195.32 -1000.00 -1000.00 95.00 110.00 
5834 5834 30.00 0:00:03:14.467/1000 0:00:03:14.434/1000 355.56 257.08 462.30 195.54 -1000.00 -1000.00 93.00 109.00 
5835 5834 30.00 0:00:03:14.500/1000 0:00:03:14.467/1000 354.00 258.24 462.89 196.16 -1000.00 -1000.00 96.00 112.00 
5836 5836 30.00 0:00:03:14.534/1000 0:00:03:14.500/1000 353.23 259.22 463.18 196.61 -1000.00 -1000.00 92.00 108.00 
5837 5837 30.00 0:00:03:14.567/1000 0:00:03:14.534/1000 352.32 259.99 463.52 197.01 -1000.00 -1000.00 93.00 111.00 
5838 5837 30.00 0:00:03:14.600/1000 0:00:03:14.567/1000 352.95 261.79 463.26 197.62 -1000.00 -1000.00 93.00 109.00 
5839 5839 30.00 0:00:03:14.634/1000 0:00:03:14.600/1000 354.34 261.16 462.73 197.23 -1000.00 -1000.00 94.00 108.00 
5840 5840 30.00 0:00:03:14.667/1000 0:00:03:14.634/1000 354.98 260.81 462.49 197.02 -1000.00 -1000.00 93.00 108.00 
5841 5840 30.00 0:00:03:14.700/1000 0:00:03:14.667/1000 354.11 264.44 462.79 198.51 -1000.00 -1000.00 89.00 116.00 
5842 5842 30.00 0:00:03:14.734/1000 0:00:03:14.700/1000 353.93 268.14 462.82 199.94 -1000.00 -1000.00 92.00 116.00 
5843 5843 30.00 0:00:03:14.767/1000 0:00:03:14.734/1000 362.41 255.95 459.69 194.35 -1000.00 -1000.00 98.00 110.00 
5844 5843 30.00 0:00:03:14.800/1000 0:00:03:14.767/1000 370.43 243.10 456.78 188.63 -1000.00 -1000.00 94.00 108.00 
5845 5845 30.00 0:00:03:14.834/1000 0:00:03:14.800/1000 371.93 244.77 456.19 189.10 -1000.00 -1000.00 97.00 112.00 
5846 5846 30.00 0:00:03:14.867/1000 0:00:03:14.834/1000 373.80 247.47 455.45 189.91 -1000.00 -1000.00 97.00 113.00 
5847 5846 30.00 0:00:03:14.900/1000 0:00:03:14.867/1000 374.44 246.51 455.22 189.48 -1000.00 -1000.00 100.00 110.00 
5848 5848 30.00 0:00:03:14.934/1000 0:00:03:14.900/1000 373.49 244.55 455.60 188.85 -1000.00 -1000.00 96.00 108.00 
5849 5849 30.00 0:00:03:14.967/1000 0:00:03:14.934/1000 371.11 245.87 456.49 189.60 -1000.00 -1000.00 91.00 109.00 
