record started at: 04-26-19 12:52:11

file format version: 4
captureMode: Offline
eye resolution: 640x480 scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
142 142 30.00 0:00:00:04.734/1000 0:00:00:04.700/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
143 143 30.00 0:00:00:04.767/1000 0:00:00:04.734/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
144 143 30.00 0:00:00:04.800/1000 0:00:00:04.767/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
145 145 30.00 0:00:00:04.834/1000 0:00:00:04.800/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
146 146 30.00 0:00:00:04.867/1000 0:00:00:04.834/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
147 146 30.00 0:00:00:04.900/1000 0:00:00:04.867/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
148 148 30.00 0:00:00:04.934/1000 0:00:00:04.900/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
149 149 30.00 0:00:00:04.967/1000 0:00:00:04.934/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
150 149 30.00 0:00:00:05.00/1000 0:00:00:04.967/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
151 151 30.00 0:00:00:05.34/1000 0:00:00:05.00/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
152 152 30.00 0:00:00:05.67/1000 0:00:00:05.34/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
153 152 30.00 0:00:00:05.100/1000 0:00:00:05.67/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
154 154 30.00 0:00:00:05.134/1000 0:00:00:05.100/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
155 155 30.00 0:00:00:05.167/1000 0:00:00:05.134/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
156 155 30.00 0:00:00:05.200/1000 0:00:00:05.167/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
157 157 30.00 0:00:00:05.234/1000 0:00:00:05.200/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
